data,tipo_documento,proposicao,proposicao_id,documento_id,documento_textual_id,unidade,sessoes_registradas_na_data,palavras_no_texto,sha256_corpo,endpoint_fonte,evidencia_local,inicio_do_texto
2026-03-06,Publicação,PL 2175/2026,156411,326227,,SELEG,,,2820a4a513d484b4da0f1a5afb99b920aaefd2b7893d3791afc3b8aebcc48747,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-06,Publicação,PL 2175/2026,156411,326254,,SELEG,,,dc077637212f8018f4030cb3d818bf107eb632897eccfce91a1f916c54e6d3a7,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-11,Publicação,PL 2175/2026,156411,326562,,SELEG,ORDINARIA nº 15 | SOLENE nº 161,,55f7ecf02df0ab42f696c6e8e9bde83d9fe2a5eb1aea803a82b0591c8618c7a8,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-06-11,Publicação,PL 2363/2026,158171,336005,,SELEG,ORDINARIA nº 52 | SOLENE nº 215 | SOLENE nº 215,,f78695aeb5a5aab5d61fecc0e5e5c815685b1d86fb48924c2b972fd05ed85c8c,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-24,Publicação,PL 2363/2026,158171,338303,,SELEG,SOLENE nº 227,,a7b570b801634d5e24d821138641af3b3abcabda66c00d2b26543c7c2496c85c,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2025-03-14,Parecer,PL 1557/2025,150946,289796,283222,GAB DEP PAULA BELMONTE,SOLENE nº 12,,e226d860417f66b9286277cc7bebad2a843aab1ff51ae6eb247ea5683aa10d2d,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/150946/documento/ativas,data/raw/documento-ativas/26e168a13f37ca95.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete da Deputada Paula Belmonte - Gab 22 PARECER Nº , DE 2025 - CDESCTMAT Projeto de Lei nº 1.557/2025 Da COMISSÃO DE DESENVOLVIMENTO ECONÔMICO SUSTENTÁVEL, CIÊNCIA, TECNOLOGIA, MEIO AMBIENTE E TURISMO sobre o Projeto de Lei nº 1.557/2025, que “altera a Lei nº 4.636, de 25 de agosto de 2011, que ‘institui mecanismo de controle do patrimônio público do Dis"
2025-08-20,Parecer,PL 1882/2025,153779,306642,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,cb1a26073f37a6386d4737b70a9553cccaa132d676e3af62a8bb9e6b6fa73a33,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2025-08-20,Parecer,PL 1882/2025,153779,306651,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,10f684a220a61bb9eac601916c6637d92a5eb1f786db2b6db39b477601de099f,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2025-08-20,Parecer,PL 1882/2025,153779,306652,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,268be245a61da3397d401dc054bfc37c15e767c302a3a152104ba41229159bde,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2026-03-04,Parecer,PL 2175/2026,156411,326046,,SELEG,ORDINARIA nº 12 | SOLENE nº 158,,2748659e947f833f19b73a6b9f451eb2757da78317a8e20fd7cc6c2685c80985,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-06-09,Parecer,PL 2363/2026,158171,335871,375538,GAB DEP CHICO VIGILANTE,EXTRAORDINARIA nº 13 | ORDINARIA nº 50,BRB,a407a12b3b8573ca08536106a759127d0507e4f440580eb0720d70ffd16dcb98,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Chico Vigilante - Gab 09 PARECER Nº , DE 2026 - CCJ Da COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA sobre o Projeto de Lei Nº 2363/2026, que “Altera a Lei nº 7.845, de 10 de março de 2026, que “dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições"
2026-06-10,Parecer,PL 2363/2026,158171,335899,,SELEG,ORDINARIA nº 51,,05e2831e4d1f5f50249a7f750d881a3408e78acfcb5003408c57a5aedcfa291a,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Parecer,PL 2363/2026,158171,335901,,SELEG,ORDINARIA nº 51,,d7ea383d25bf95313cb82009ba68e21c91f0bed0f165575f52dbbd3d601be57f,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Parecer,PL 2363/2026,158171,335903,,SELEG,ORDINARIA nº 51,,eb568805d044a0074e0b5782fe2402eb8459e2af6162023a86fd1e22d3612eb7,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-11,Parecer,PL 2363/2026,158171,336012,,SELEG,ORDINARIA nº 52 | SOLENE nº 215 | SOLENE nº 215,,89f2153c9298e81690845a754e754b61ffa3e04a0e584244b01e41c027c33118,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-03-03,Voto em Separado,PL 2175/2026,156411,326041,356263,LIDPT,EXTRAORDINARIA nº 2 | ORDINARIA nº 11,BRB MASTER,35b58cd0692cd6f0470b1c464b2e2d7f8c328c29bc32a74539eece6eee52301b,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Liderança do PT voto em separado na comissão de constituição e justiça Projeto de Lei nº 2175/2026 Ao Projeto de Lei nº 2175/2026, que “Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras p"
