proposicao,autoria,ementa,data_leitura,dias_ate_22_09_2026,documentos_no_processo,documentos_de_resposta,respostas_legiveis,remetido_ao_sei,encerrado,etapa,id_proposicao
REQ 2067/2025,Deputado Fábio Felix,Requer informações à Secretaria de Estado de Economia a respeito da arrecadação da Contribuição por Iluminação Pública ,2025-06-05,474,3,0,0,sim,sim,Apresentação,152708
REQ 2068/2025,Deputado Fábio Felix,"Requer informações à Secretaria de Segurança Pública, à Secretaria de Obras e Infraestrutura e à CEB Iluminação Pública e Serviços (CEB IPES)",2025-06-05,474,3,0,0,sim,sim,Apresentação,152939
REQ 2069/2025,Deputado Fábio Felix,Requer informações à Secretaria de Estado de Obras e Infraestrutura do Distrito Federal – SODF a respeito da concessão outorgada à CEB Ipês ,2025-06-05,474,3,0,0,sim,sim,Apresentação,152709
REQ 2070/2025,Deputada Dayse Amarilio,"Requer informações à Secretaria de Estado da Mulher do Distrito Federal acerca dos eventuais impactos que a criação do Conselho Distrital de Defesa da Mulher (CODEM), prevista no Projeto de Lei nº 169/2023, aprovado em primeiro turno, nos termos da subemenda apresentada, poderá gerar sobre o funcionamento e a continuidade do Conselho dos Direitos da Mulher do Distrito Federal (CDM-DF).

 ",2025-06-05,474,9,6,0,sim,sim,Apresentação,152924
REQ 2075/2025,Deputado Thiago Manzoni,Solicitação de informações sobre os procedimentos realizados no âmbito do Programa de Interrupção Gestacional Prevista em Lei (PIGL).,2025-06-05,474,3,0,0,sim,sim,Apresentação,152953
REQ 208/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca de eventual demora no atendimento de paciente internado no Hospital Regional de Taguatinga.,2023-02-28,1302,3,0,0,nao,sim,Apresentação,10885
REQ 2086/2025,Deputado Max Maciel,"Requer informações à Secretaria de Educação sobre o edifício que abriga o Centro Educacional Zumbi dos Palmares, localizado em São Sebastião – RA XIV.",2025-06-10,469,3,0,0,sim,sim,Apresentação,152941
REQ 2087/2025,Deputado Max Maciel,Requer informações à Secretaria do Desenvolvimento Social  - SEDES sobre o Programa Cartão Prato Cheio.,2025-06-10,469,3,0,0,sim,sim,Apresentação,152931
REQ 2088/2025,Deputado Max Maciel,"Requer informações à Companhia de Desenvolvimento Habitacional do Distrito Federal (CODHAB) sobre o andamento da construção do empreendimento Alto Mangueiral, localizado em São Sebastião – RA XIV.",2025-06-10,469,3,0,0,sim,sim,Apresentação,152879
REQ 209/2023,Deputada Paula Belmonte,Requer informações da Casa Civil do Distrito Federal do Distrito Federal na forma que especifica.,2023-02-28,1302,3,0,0,sim,sim,Apresentação,10832
REQ 2090/2025,Deputado Iolando,Requer à EMPRESA JBS o encaminhamento de informações sobre boas práticas a serem empregadas no tratamento dos efluentes industriais lançados no Rio Melchior.,2025-06-12,467,6,0,0,nao,nao,Apresentação,153056
REQ 2091/2025,Deputado Iolando,Requer à COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL - CAESB o encaminhamento de informações sobre boas práticas a serem empregadas no tratamento dos efluentes domésticos lançados no Rio Melchior.,2025-06-12,467,6,0,0,nao,nao,Apresentação,153055
REQ 2092/2025,Deputado Iolando,Requer ao SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL – SLU/DF o encaminhamento de informações sobre boas práticas a serem empregadas no tratamento dos efluentes de chorume lançados no Rio Melchior.,2025-06-12,467,6,0,0,nao,nao,Apresentação,153054
REQ 2094/2025,Deputado Fábio Felix,Requer ao DF Legal informações sobre ações de remoção e desocupação de áreas públicas,2025-06-13,466,3,0,0,sim,sim,Apresentação,152958
REQ 2095/2025,Deputado Fábio Felix,"Requer informações à Secretaria de Estado de Saúde do Distrito Federal sobre a situação precária da Unidade Básica de Saúde – UBS 13, da Região Administrativa – RA de Ceilândia/DF. ",2025-06-13,466,3,0,0,sim,sim,Apresentação,153050
REQ 2096/2025,Deputado Fábio Felix,"Requer informações ao DETRAN-DF sobre ocorrências de acidentes com motos, por mês e ano, ocorridos no Distrito Federal de 2020 a 2025. ",2025-06-13,466,3,0,0,sim,sim,Apresentação,152652
REQ 2102/2025,Deputada Dayse Amarilio,Requer informações ao Instituto de Gestão Estratégica de Saúde do Distrito Federal - IGESDF acerca da concessão de reajuste salarial ao quadro de enfermeiros da instituição.,2025-06-13,466,3,0,0,sim,sim,Apresentação,153081
